file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
./data\1.txt,4468,689,1.0159651669085632,0.5805515239477503,0.7256894049346879,0.29027576197387517,0.7256894049346879,0.29027576197387517,0.43541364296081275,529.8984034833092,8,7,1.6748911465892597,5.146589259796807,317
./data\10.txt,3599,557,2.872531418312388,1.436265709156194,0.5385996409335727,0.0,3.231597845601436,0.3590664272890485,0.3590664272890485,523.6983842010771,0,0,1.6912028725314183,5.0359066427289045,275
./data\100.txt,2196,305,4.590163934426229,1.3114754098360655,1.3114754098360655,0.0,1.639344262295082,0.6557377049180327,0.9836065573770493,578.0327868852459,42,17,1.9540983606557376,5.632786885245902,154
./data\101.txt,13574,1904,4.8844537815126055,0.8928571428571428,0.3676470588235294,1.7331932773109244,0.10504201680672269,0.21008403361344538,0.31512605042016806,577.9936974789915,145,44,1.7053571428571428,5.296218487394958,720
./data\102.txt,8853,1537,2.4072869225764477,1.040988939492518,0.8458035133376708,0.06506180871828238,1.3012361743656473,0.520494469746259,0.0,463.0448926480156,11,5,1.4586857514638907,4.544567338972024,553
./data\103.txt,10471,1563,3.8387715930902107,1.0236724248240563,0.8317338451695457,0.0,1.6634676903390915,0.5758157389635317,0.4478566858605247,533.7811900191938,125,42,1.6404350607805502,5.0031989763275755,657
./data\104.txt,11199,1712,3.212616822429906,1.0514018691588785,1.8107476635514017,0.05841121495327102,1.5186915887850467,0.9345794392523363,0.23364485981308408,525.5841121495326,70,28,1.6477803738317758,5.070677570093458,695
./data\105.txt,7068,1025,3.7073170731707314,1.3658536585365855,1.5609756097560976,0.2926829268292683,0.7804878048780488,1.0731707317073171,0.0,541.1707317073171,138,54,1.697560975609756,5.146341463414634,417
./data\106.txt,11509,1713,1.4594279042615295,1.6345592527729131,0.8756567425569177,0.4086398131932283,0.29188558085230587,0.5253940455341506,0.11675423234092236,545.4173963806188,58,12,1.717454757734968,5.122591943957969,708
./data\107.txt,5207,795,3.270440251572327,0.8805031446540881,0.37735849056603776,0.37735849056603776,0.12578616352201258,0.37735849056603776,0.12578616352201258,527.0440251572327,46,25,1.689308176100629,5.081761006289308,350
./data\108.txt,8697,1316,5.243161094224924,0.303951367781155,1.1398176291793314,0.07598784194528875,0.911854103343465,0.7598784194528876,0.1519756838905775,532.9027355623101,89,35,1.7332826747720365,5.199848024316109,529
./data\109.txt,1787,276,5.434782608695652,1.0869565217391304,1.4492753623188406,0.0,1.0869565217391304,1.0869565217391304,0.0,525.0,0,0,1.6485507246376812,5.159420289855072,164
./data\11.txt,4134,616,0.3246753246753247,1.7857142857142856,0.6493506493506493,0.0,0.3246753246753247,0.487012987012987,0.16233766233766234,550.0,0,0,1.8603896103896105,5.306818181818182,272
./data\110.txt,3192,454,1.762114537444934,0.0,0.881057268722467,0.0,0.22026431718061676,0.0,1.1013215859030838,558.590308370044,76,26,1.748898678414097,5.233480176211454,234
./data\111.txt,12239,1699,2.2954679223072394,0.4120070629782225,1.1771630370806356,0.17657445556209533,0.5885815185403178,0.7651559741024131,0.5885815185403178,587.4632136550912,83,31,1.7639788110653325,5.262507357268982,526
./data\112.txt,10875,1648,1.7597087378640777,2.1844660194174756,0.48543689320388345,0.06067961165048543,0.9101941747572815,0.1820388349514563,0.1820388349514563,539.1990291262136,40,16,1.7057038834951457,5.247572815533981,711
./data\113.txt,8726,1326,1.6591251885369533,0.7541478129713424,0.6787330316742082,0.0,0.6787330316742082,0.3770739064856712,0.22624434389140274,529.4871794871794,43,4,1.6485671191553544,4.993212669683258,502
./data\114.txt,5127,698,2.292263610315186,2.148997134670487,0.42979942693409745,0.7163323782234957,0.0,0.14326647564469913,0.7163323782234957,612.4641833810888,10,3,1.9627507163323783,5.856733524355301,372
./data\115.txt,2122,317,2.5236593059936907,0.9463722397476341,0.31545741324921134,0.0,0.0,0.0,0.6309148264984227,542.5867507886435,15,7,1.839116719242902,5.384858044164038,175
./data\116.txt,1934,323,0.30959752321981426,0.9287925696594427,0.6191950464396285,0.0,0.30959752321981426,0.0,0.30959752321981426,475.23219814241486,10,3,1.4489164086687307,4.6532507739938085,175
./data\117.txt,2403,377,3.7135278514588856,0.0,0.7957559681697612,0.0,0.0,0.7957559681697612,0.2652519893899204,505.83554376657827,17,11,1.6657824933687002,4.737400530503979,166
./data\118.txt,2009,296,3.3783783783783785,0.0,0.33783783783783783,0.0,0.33783783783783783,0.33783783783783783,0.0,531.7567567567568,28,11,1.5777027027027026,4.831081081081081,125
./data\119.txt,1593,246,5.691056910569105,1.2195121951219512,1.6260162601626018,1.6260162601626018,0.8130081300813009,0.8130081300813009,0.0,524.7967479674796,0,0,1.6788617886178863,5.065040650406504,160
./data\12.txt,7926,1242,2.49597423510467,1.7713365539452495,0.5636070853462157,0.0,0.40257648953301123,0.24154589371980675,0.24154589371980675,517.5523349436393,9,4,1.6384863123993558,5.053140096618358,458
./data\120.txt,1035,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.8840579710145,24,13,1.9202898550724639,5.5,88
./data\121.txt,5690,826,6.053268765133172,0.7263922518159807,1.331719128329298,0.48426150121065376,0.24213075060532688,0.6053268765133172,0.36319612590799033,548.1840193704601,93,40,1.7058111380145278,5.113801452784504,356
./data\122.txt,2807,442,3.3936651583710407,0.22624434389140274,2.48868778280543,0.0,0.0,0.904977375565611,0.0,506.78733031674204,20,7,1.5995475113122173,4.866515837104072,225
./data\123.txt,11429,1689,3.137951450562463,0.7696862048549438,0.5328596802841918,0.17761989342806395,0.11841326228537595,0.2960331557134399,0.2368265245707519,543.8721136767317,154,59,1.7625814091178211,5.180580224985198,642
./data\124.txt,3768,592,1.3513513513513513,0.5067567567567568,0.33783783783783783,0.16891891891891891,0.8445945945945946,0.0,0.5067567567567568,517.9054054054054,21,10,1.7111486486486487,5.106418918918919,285
./data\125.txt,6932,979,1.8386108273748722,1.634320735444331,0.40858018386108275,0.5107252298263534,0.40858018386108275,0.0,0.20429009193054137,562.5127681307457,162,51,1.767109295199183,5.235955056179775,428
./data\126.txt,4625,707,1.4144271570014144,0.5657708628005658,0.7072135785007072,0.14144271570014144,0.8486562942008486,0.5657708628005658,0.14144271570014144,540.3111739745402,0,0,1.6407355021216408,5.244695898161245,311
./data\127.txt,5870,858,2.331002331002331,1.282051282051282,1.282051282051282,0.2331002331002331,0.5827505827505828,0.9324009324009324,0.4662004662004662,562.3543123543124,11,4,1.7179487179487178,5.386946386946387,455
./data\128.txt,7078,1067,0.8434864104967198,1.9681349578256795,1.7806935332708531,0.6560449859418931,0.37488284910965325,0.6560449859418931,0.09372071227741331,538.9878163074039,46,15,1.7179006560449859,5.298031865042175,460
./data\129.txt,7199,1105,4.072398190045249,1.1764705882352942,1.2669683257918551,0.8144796380090499,0.5429864253393665,0.36199095022624433,0.18099547511312217,530.1357466063348,18,10,1.7538461538461538,5.170135746606335,400
./data\13.txt,2774,439,0.683371298405467,1.1389521640091116,0.9111617312072893,0.0,0.22779043280182232,0.22779043280182232,0.45558086560364464,517.995444191344,4,1,1.7608200455580865,5.168564920273348,226
./data\130.txt,3899,567,0.8818342151675485,2.6455026455026456,0.8818342151675485,0.1763668430335097,0.0,0.1763668430335097,0.0,572.663139329806,2,1,1.8465608465608465,5.63668430335097,286
./data\131.txt,6603,1046,4.588910133843212,1.5296367112810707,1.0516252390057361,0.47801147227533464,0.5736137667304015,0.3824091778202677,0.47801147227533464,516.7304015296368,7,3,1.7093690248565965,5.121414913957935,420
./data\132.txt,8858,1395,2.437275985663083,1.2903225806451613,1.5770609318996418,0.2867383512544803,0.21505376344086022,0.7885304659498209,0.07168458781362007,516.7741935483871,15,7,1.689605734767025,5.016487455197133,447
./data\133.txt,5620,833,0.7202881152460985,2.6410564225690276,0.9603841536614646,0.0,0.8403361344537815,0.7202881152460985,0.12004801920768307,553.781512605042,10,5,1.871548619447779,5.460984393757503,381
./data\134.txt,6471,910,2.0879120879120876,1.208791208791209,0.5494505494505495,0.21978021978021978,0.10989010989010989,0.21978021978021978,1.6483516483516485,592.4175824175825,4,1,2.00989010989011,5.821978021978022,385
./data\135.txt,4897,723,3.0428769017980635,1.6597510373443984,0.8298755186721992,0.5532503457814661,1.2448132780082988,0.13831258644536654,0.6915629322268326,532.9183955739973,84,26,1.578146611341632,4.816044260027662,339
./data\136.txt,8325,1219,1.9688269073010665,2.871205906480722,0.6562756357670222,0.2461033634126333,0.9844134536505332,0.3281378178835111,0.41017227235438886,567.3502871205907,10,4,1.8958162428219851,5.621000820344545,498
./data\137.txt,5137,783,1.532567049808429,0.8939974457215836,1.9157088122605364,0.6385696040868455,0.0,0.38314176245210724,0.0,528.4802043422733,55,13,1.793103448275862,5.150702426564496,313
./data\138.txt,2619,408,1.4705882352941175,1.4705882352941175,7.8431372549019605,0.24509803921568626,2.2058823529411766,0.24509803921568626,0.49019607843137253,525.0,0,0,1.7181372549019607,5.208333333333333,213
./data\139.txt,4753,766,3.0026109660574414,1.3054830287206265,6.135770234986945,0.5221932114882507,0.6527415143603132,0.39164490861618795,0.26109660574412535,507.04960835509144,8,2,1.6357702349869452,5.010443864229765,338
./data\14.txt,3577,539,1.2987012987012987,2.2263450834879404,1.1131725417439702,0.1855287569573284,3.153988868274583,0.5565862708719851,0.0,544.3413729128015,8,3,1.8126159554730983,5.328385899814471,291
./data\140.txt,10048,1557,1.477199743095697,1.348747591522158,1.0918432883750802,0.06422607578676942,0.3211303789338471,0.1926782273603083,0.12845215157353884,531.5350032113038,3,2,1.71868978805395,5.254335260115607,567
./data\141.txt,9794,1483,0.5394470667565745,2.3600809170600137,0.8091706001348618,0.0,0.4045853000674309,0.4720161834120027,0.20229265003371544,543.2906271072152,9,7,1.8031018206338503,5.379635873229939,547
./data\142.txt,5606,855,1.8713450292397662,3.8596491228070176,1.2865497076023393,0.23391812865497078,0.46783625730994155,0.7017543859649122,0.23391812865497078,542.6900584795321,0,0,1.831578947368421,5.395321637426901,372
./data\143.txt,7715,1203,1.0806317539484622,2.3275145469659186,0.8312551953449709,0.3325020781379884,0.1662510390689942,0.3325020781379884,0.0831255195344971,529.75893599335,4,1,1.7605985037406484,5.1961762261014135,431
./data\144.txt,6100,931,2.4704618689581093,1.5037593984962405,1.288936627282492,0.0,0.4296455424274973,0.5370569280343717,0.4296455424274973,537.1643394199785,24,7,1.7604726100966703,5.180451127819549,402
./data\145.txt,3559,521,0.9596928982725527,0.5758157389635317,0.7677543186180422,0.0,0.19193857965451055,0.3838771593090211,0.3838771593090211,556.8138195777351,3,0,1.8618042226487523,5.339731285988484,262
./data\146.txt,9648,1438,1.1126564673157162,2.1557719054242,0.5563282336578581,0.2086230876216968,1.52990264255911,0.13908205841446453,0.13908205841446453,551.808066759388,21,7,1.7969401947148818,5.3247566063977745,553
./data\147.txt,8026,1257,1.431980906921241,1.352426412092283,1.0342084327764518,0.07955449482895784,1.2728719172633254,0.23866348448687352,0.31821797931583135,519.6499602227526,6,3,1.7319013524264122,5.144789180588703,448
./data\148.txt,4115,667,1.4992503748125936,1.4992503748125936,1.199400299850075,0.0,0.4497751124437781,0.7496251874062968,0.0,500.599700149925,1,1,1.616191904047976,4.881559220389805,289
./data\149.txt,7322,1120,2.767857142857143,1.607142857142857,1.607142857142857,0.0,1.3392857142857142,0.7142857142857143,0.26785714285714285,533.8392857142857,16,8,1.7482142857142857,5.13125,502
./data\15.txt,8666,1339,2.8379387602688575,1.194921583271098,0.8961911874533234,0.07468259895444362,1.1202389843166543,0.597460791635549,0.4480955937266617,526.7363704256909,0,0,1.6997759522031366,5.093353248693054,533
./data\150.txt,9842,1377,2.832244008714597,1.7429193899782136,0.5809731299927379,0.14524328249818447,0.5083514887436456,0.36310820624546114,0.29048656499636893,583.2244008714597,66,27,1.7726942628903413,5.396514161220043,562
./data\151.txt,4696,732,0.546448087431694,1.639344262295082,1.366120218579235,0.1366120218579235,0.819672131147541,0.546448087431694,0.4098360655737705,523.7704918032787,6,3,1.7581967213114753,5.158469945355192,339
./data\152.txt,3207,483,0.4140786749482402,3.5196687370600417,0.6211180124223602,0.0,0.8281573498964804,0.6211180124223602,0.2070393374741201,546.9979296066252,2,1,1.7908902691511388,5.420289855072464,242
./data\153.txt,6073,941,1.487778958554729,1.7003188097768331,2.975557917109458,0.21253985122210414,0.3188097768331562,1.0626992561105209,0.9564293304994688,527.9489904357067,13,3,1.738575982996812,5.1997874601487775,422
./data\154.txt,4801,705,2.4113475177304964,2.553191489361702,0.425531914893617,0.14184397163120568,0.851063829787234,0.28368794326241137,0.5673758865248227,562.8368794326241,7,2,1.9304964539007092,5.591489361702128,319
./data\155.txt,5503,839,0.23837902264600713,1.7878426698450536,0.9535160905840285,0.0,0.0,0.5959475566150179,0.23837902264600713,542.0738974970202,3,2,1.7485101311084625,5.307508939213349,367
